Region Name,Instance Name,Instance Id,Instance Type,VPC Id,Block Device Name,Platform,State,Availability Zone,Reserved/On-demand,Instance Price/hour,Instance Price/month,Instance Price/year,Volume Price/year,Total Price/year
us-west-2,vpc-prod-redis02-usw,i-cee390c5,r3.2xlarge,vpc-2c54ab49,"['/dev/sda1', '/dev/sdp']",Linux/UNIX (Amazon VPC),running,us-west-2a,On-demand,0.233,167.76000000000002,2041.0800000000002,144.0,2185.08
us-west-2,vpc-prod-vertex09-usw,i-16c344e1,c3.2xlarge,vpc-2c54ab49,['/dev/sda1'],Linux/UNIX (Amazon VPC),running,us-west-2a,Reserved,0.42,302.4,3679.2,24.0,3703.2
us-west-2,vpc-prod-vertex11-usw,i-11c344e6,c3.2xlarge,vpc-2c54ab49,['/dev/sda1'],Linux/UNIX (Amazon VPC),running,us-west-2a,Reserved,0.42,302.4,3679.2,24.0,3703.2
us-west-2,vpc-prod-kafka05-usw,i-eb34d632,m3.xlarge,vpc-2c54ab49,"['/dev/sda1', '/dev/sdd', '/dev/sde', '/dev/sdf']",Linux/UNIX (Amazon VPC),running,us-west-2b,Reserved,0.266,191.52,2330.1600000000003,1824.0,4154.16
us-west-2,vpc-prod-kafka06-usw,i-ea34d633,m3.xlarge,vpc-2c54ab49,"['/dev/sda1', '/dev/sdd', '/dev/sde', '/dev/sdf']",Linux/UNIX (Amazon VPC),running,us-west-2b,Reserved,0.266,191.52,2330.1600000000003,1824.0,4154.16
us-west-2,vpc-prod-kafka07-usw,i-ed34d634,m3.xlarge,vpc-2c54ab49,"['/dev/sda1', '/dev/sdd', '/dev/sde', '/dev/sdf']",Linux/UNIX (Amazon VPC),running,us-west-2b,Reserved,0.266,191.52,2330.1600000000003,1824.0,4154.16
us-west-2,vpc-prod-kafka08-usw,i-ec34d635,m3.xlarge,vpc-2c54ab49,"['/dev/sda1', '/dev/sdd', '/dev/sde', '/dev/sdf']",Linux/UNIX (Amazon VPC),running,us-west-2b,Reserved,0.266,191.52,2330.1600000000003,1824.0,4154.16
us-west-2,mw-phabricator,i-22a8aad5,m1.xlarge,None,['/dev/sda1'],Linux/UNIX,running,us-west-2a,Reserved,0.35,251.99999999999997,3066.0,24.0,3090.0
us-west-2,mobilewalla-1,i-fa3102c8,m1.xlarge,None,Instance Store,Linux/UNIX,running,us-west-2a,Reserved,0.35,251.99999999999997,3066.0,0,3066.0
us-west-2,vpc-prod-vertex-trackers-api02-usw,i-387cbf34,c3.2xlarge,vpc-2c54ab49,['/dev/sda1'],Linux/UNIX (Amazon VPC),running,us-west-2b,Reserved,0.42,302.4,3679.2,24.0,3703.2
